expression;language
Play me a nineties song by Joseph Genaro;en
play The Happiest Days Of Our Lives by Tommy Emmanuel;en
play Angela Winbush ep that is popular;en
play the top five songs by Gad Elbaz;en
 some Sonu Niigaam from the fifties ;en
Play movement music from Sheryfa Luna;en
Can you play me some eighties music by Adele;en
Open the  from Sergei Chatschatrjan ;en
Play fifties music by Ahmed Abdul Malik;en
play Hora Din Moldova by Yamazaki Maso;en
I want to hear a symphony  Kano ;en
play Vivian Stanshall from 1962;en
Let's  the album Handover on Deezer ;en
Play a Mike Osborne song;en
I'd like to listen to Space music;en
 some Jungle music on iheart ;en
Play Making Out by Alexander Rosenbaum off Google Music.;en
I want to hear popular music from Martin Lopez;en
open Fadl Shaker on Spotify and play a melody starting with the newest;en
play melody music from 1988;en
 pop music with Groove Shark ;en
Let me listen to The Music Of Nature album by Paul Draper.;en
Can you  a sound track from 1963? ;en
 Alfredo Zitarrosa on spotify. ;en
play Lastfm by Steampunk ;en
Play new Teo Macero;en
Play some fifties music by Origa.;en
Play track Ai Se Eu Te Pego on google music from artist Maestro;en
Play the most popular sort by ep by Brooke Fraser;en
 Llegando a Casa playlist ;en
Play some Mf Doom from the sixties on pandora.;en
Play the song American Patrol by lauryn hill;en
Play music from 1977;en
Can you play the greatest songs by Mauro Picotto;en
Play This Is: Animal Collective please;en
 Sense Tu from Ebi Hamedi ;en
 the last Niney The Observer song ;en
Play music on Netflix. ;en
I want to hear  by Madeleine Peyroux  1991 on Youtube. ;en
 Portsmouth by Paul Smith on Google Music. ;en
Please use pandora to play a record from 1993;en
play caitlin cary from the fourties;en
Open Youtube and  Iron Mountain Depot  John Lomax ;en
 Before I Grew Up To Love You  Wafah Dufour ;en
I want to hear Ready by Frankenstein Drag Queens From Planet 13;en
play Are & Be ;en
Play the soundtrack that Tom Bellamy contributed to;en
 Clásicos del Hip Hop Español ;en
I want to hear a top-50 track  Takahito Eguchi on Google  ;en
 Murder The Mountains by Mana on Netflix ;en
 music by Bryan Maclean ;en
Play a fifties theme on lastfm ;en
I want to hear some  rock ;en
 my Mellow Beats playlist please ;en
Play some thrash metal.;en
 One Way Ticket by Ray Kennedy. ;en
 music from the artist Joe Sample ;en
  a song off the Curtis Lee album Rough Diamonds ;en
 Red Barchetta by Blind Lemon Jefferson. ;en
 the track Siberian Khatru on zvooq ;en
Play the best music from Klaus Badelt.;en
 me a popular song by Koichi Domoto ;en
play Fernando Olvera;en
I want to hear music from the sixties.;en
I want to hear Ready  Frankenstein Drag Queens  Planet 13 ;en
 some music on Lastfm ;en
I'd like to hear a track by Theo Keating.;en
 some best selling rave songs ;en
Use Pandora to  music  Maki Onaga  the album made in the  ;en
 music from the list Indie Electronics ;en
play music by Helen Ward;en
use Iheart radio to play eighties music from Hugh Masekela.;en
Play the 1951 ballad;en
Play music by Otis Redding.;en
Play music on Itunes;en
Play music from the artist Joe Sample;en
 some Classical music on Spotify ;en
Play some dance music.;en
 a ballad form 2014 by Double on Google  ;en
Play some theme songs from 1974;en
play some movement by Dj Spinna;en
 top-twenty fourties movement music by Mohammad Reza Lotfi. ;en
Play Magic Time by Phoebus;en
 my Still Got the Blues playlist. ;en
play 1962 music on Netflix;en
 some seventies track from top Rie Tomosaka ;en
open Itunes and play Kenny Cox most popular concerto;en
play Groove Shark;en
Play the seventies album on last fm;en
Can you  some Synthpop music on Youtube ;en
I want to hear Song  Adam ;en
Play a melody from the nineties on Google Music;en
Play the album Axum ;en
 ballad music from 1958 ;en
play a song by Fats Waller;en
Please play me a top nineties theme song;en
play There Must Be More To Life Than This;en
 the last ep from 1999 ;en
Play something by grandmaster flash & the furious five on youtube;en
Please play Casino Boogie ;en
Play me something from the thirties by Candi Staton on Vimeo;en
 the most popular music  Nat Stuckey on Itunes. ;en
play chant by Prurient;en
Please  a song by Ahmad Jamal ;en
play music by Francis Healy;en
 some music from the sixties ;en
Play music on pandora ;en
have Zvooq play songs from the fifties;en
play twenties tunes;en
play Frankie Laine;en
 chant music by pappu venugopala rao on Slacker. ;en
 Fereydoun Farrokhzad best track ;en
Listen to music  1975 ;en
Play the most popular 1956 record.;en
 the top 10 by Sankha Chatterjee. ;en
Play some chant from 1974;en
Play me something by Funtwo;en
 melody music from 1988 ;en
play Zvooq ;en
I'm  the mood to listen to meditative music. ;en
 some Erin Harkes from the fifties on Lastfm. ;en
 the Mister Music Man by Gene De Paul. ;en
 a 1998 sound track  Sam The Kid on Last Fm ;en
Please play a movement by Rupam Islam;en
Use Last Fm to  artist Kawabata Makoto  their record ;en
Play Moris Tepper;en
Play the album Killer Instinkt;en
Play Igor Nikolayev music from the fourties;en
Play some Avantgarde music on Netflix.;en
use Netflix to  Michael White tune from 1955 ;en
 the latest music by Martin Luther Mccoy ;en
 Oliver Cheatham's symphony from the thirties. ;en
 something from the twenties ;en
 ep by Arjen Anthony Lucassen ;en
Play me a song from the fourties movement;en
 Dancing Through Life by Ronald Isley on spotify ;en
Can you  a melody  the fifties on Last Fm? ;en
play Netflix ballad by Mike Shinoda that is popular;en
Can you play a top 5 song by Manos Hadjidakis;en
 Adieu by Al Arsenault ;en
play Solange 2016 album ;en
play some Classical music on Spotify;en
 the top movement music from 1997. ;en
play some dream music;en
 Inventions For The New Season ;en
Play some music by beverley martyn;en
I'd like to listen to iheart radio's chill out playlist please.;en
Play White Noise.;en
I want to hear something  Post-punk Revival ;en
Play some Game music.;en
I want to hear a track  Ryohei Yamamoto  Vimeo ;en
Want to hear a chant by Nellie Mckay from the year 2008;en
Play some good music from 2012.;en
Play music from the punk genre on Last Fm.;en
 Pride Of The Prairie from Johnny Burke ;en
I want to hear music from 1975;en
Will you pull up my Jueves de Antaño playlist;en
play Who Do You Think You Are by Magnifico with spotify;en
Play eighties;en
 Songs Of Heaven by ami koshimizu ;en
I want to hear some songs from the twenties;en
Play music from Clark Kent in the year 1987;en
Ply best 1973 sound track;en
Play music on Spotify.;en
I want to hear the latest twenties   Kyle Riabko ;en
Can I hear Jeremy Taggart's newest chant on Deezer?;en
play journey list ;en
play anything from 1970 ;en
I want to hear Gloryhole from Mani off of Lastfm;en
 some Paul Stookey from the sixties ;en
Play Ciribiribin by Sandeep Khare;en
Play greatest chant music from Beni Arashiro;en
play Clifford Brown All  by Michael Balzary ;en
Play some music on groove shark.;en
 that new song from 1970 ;en
 some good music from 2012. ;en
 the greatest 1972 album by Wes Dakus ;en
use Spotify to play greatest songs from Kailash Kher;en
play Jawad Ahmad;en
 some seventies Dj Colette ;en
 Pandora tunes from the fourties ;en
play Andy White ;en
Play some 1993 concerto off of Slacker;en
 the playlist, A Mis Niños de 30. ;en
 some songs from 1958 ;en
I want to hear the  Insult To Injury  Narayana Tirtha. ;en
 music using Groove Shark ;en
Play Geddy Lee music on Spotify sort by top;en
Play top-twenty fourties movement music by Mohammad Reza Lotfi.;en
Play The Birds And The Bees by Ceca.;en
Play some P. J. Proby;en
Let me hear the  album  the artist, Skin. ;en
 symphony music from the fourties with google music ;en
Play me some Max Martin on Lastfm;en
Play me a fifties song by Chingy;en
 some twenties chant music on Slacker ;en
Play Richard Fortus' Live Collection.;en
play Angelo Amorevoli;en
Play me a song from the fourties;en
 a song from my workout  on Groove Shark ;en
play Sivamani;en
Play some Krzysztof Penderecki on Last Fm;en
Please anything good  Chieko Ochi ;en
 a chant by Mike Jones ;en
Play Slacker radio.;en
 the track Asleep In The Deep ;en
play 1951 tunes;en
 music by Sarah Connor ;en
 some space music on Google Music ;en
 the  track by Claudja Barry on Last Fm ;en
 Tooh by Eric Bazilian on Google Music. ;en
i wanna listen to a the top-twenty track  Denniz Pop  Pandora ;en
Play Kool Keith Presents Thee Undatakerz by John Mccrea.;en
 the album Everybody Happy by Lee Aaron ;en
Play record from the seventies;en
Play a top fifty ballad by Linda Strawberry on Google Music;en
 a top 5 song  Wally Bastian on Google Music ;en
I want to hear the sound track to Mary Macgregor new songs on Iheart;en
play southern rock tunes;en
Play Bob Hilliard top-twenty music;en
I want to hear music from the Lotus Flower album by Andy Mccoy;en
Open The Second Adventure album  Hans Nilsson ;en
play a Morton Downey record with Slacker;en
Play my Still Got the Blues playlist.;en
 the most popular sound track from the 2006 ;en
Play 1958 music on Iheart;en
 Iheart tunes by Neil Finn ;en
 The Trail Of The Lonesome Pine on Netflix ;en
 new music from Liang Wern Fook ;en
list to the most popular Muireann Nic Amhlaoibh  ;en
I wish to listen to some  music. ;en
Play some Mark Tremonti from the thirties.;en
 music by Keren Woodward ;en
Play some jpop on Google Music.;en
play Spotify;en
Can I hear tod ashley music  1953? ;en
play playlist The Realest Down South;en
Play nineties;en
 a tune or two from Kansas City, Missouri ;en
Play the symphony by Tetsuya Ogawa from 1953;en
I want to hear a Gucci Mane song from Last Fm from 2002;en
Plpay my Disco Fever playlist.;en
 me music by Whip with Zvooq ;en
Play Funky Heavy Bluesy;en
Play me the most popular Peja song on Slacker;en
play satire music;en
 me a 1990 sound track ;en
Use Youtube to play music from Dorothy Ashby from the year 2002;en
 the latest ep by Joel Hastings on Itunes. ;en
Play shadowplay by Dana on Deezer.;en
Play some Rockwell from around 1996;en
play Yo Ho from the new york pops on Youtube;en
Play Gloria on last fm;en
 These Four Walls by Yummy Bingham. ;en
Play music by Susumu Hirasawa.;en
Play a top track by Janamanchi Seshadri Sarma;en
 All Of Your Toys by Chris Ledoux ;en
Please play the most popular ep from 1998 by Mc Frontalot ;en
Play me a song by Teitur Lassen on Groove Shark;en
I want to hear This Is The Night from Proof;en
Play Yuauea by Rick Ross;en
Play playlist funtime;en
Can you  me the latest theme song  Warren Vache ;en
Can you  the greatest sarah brightman song ;en
Can I listen to music from the Easy Listening genre?;en
I'd like to  the  ten Mickdeth on Google Music ;en
Play Talking To The Universe on Itunes;en
Play Harel Skaat ;en
 a track by deeyah khan. ;en
Play the latest 1973 album by Peter Derose.;en
 music from the seventies for me. ;en
 a twenties track  the aj carothers on Zvooq. ;en
 my Femme Fatale playlist on Vimeo ;en
Play some tune from 2011 on Youtube;en
Can you play some music from my road trip album;en
Play some showtunes music. ;en
play some 1991 Dave Barker;en
 Vimeo 2009 by Desmond Dekker ;en
play any sixties song ;en
Play twenties symphony from Robert Walter;en
Play music from 2002;en
use Deezer to play top five Moya Brennan;en
 the newest ep from the sixties ;en
play James Moody ballad ;en
play Miguelito top charting album;en
Play music which has humour on Youtube.;en
 Magic Sam from the thirties ;en
Play me a nineties ep;en
 1981 music on Last Fm ;en
 the symphony by Tetsuya Ogawa from 1953 ;en
play fifties track music;en
Play me a track by Steve Souza;en
Can I listen to Dj Vibe's top 10?;en
 a twenties soundtrack on Youtube ;en
Play a tune or two from Kansas City, Missouri;en
Play funtime activity;en
 a concerto by Thekra. ;en
Play a popular Gurdas Maan track;en
 my Jazz Brasileiro playlist ;en
Use Itunes to play music;en
 the top-ten soundtrack from Kiara. ;en
 some nineties music on Zvooq ;en
Play some Laurie Anderson. ;en
play The Insoc Ep;en
 some acapella music on Iheart ;en
play Peja tunes;en
 the top twenty movement songs from Roberto Valverde ;en
I want  hear Techno-industrial music. ;en
play a good John Maher record with Netflix;en
Let me hear the Live  The Ghetto album  Beau Jocque. ;en
play a 1977 record by Bitty Mclean on Google Music;en
 a song from 2013. ;en
Play music by Daddy Yankee;en
 some music from 1993 on Itunes. ;en
 the track That Would Be Something  Eden Ahbez ;en
 Burhøns by Ernie C. ;en
Play The New Retro playlist on Netflix.;en
 a sixties track by Noam Pikelny on iheart. ;en
Play Johnny Gimble ;en
play the last chant from the fourties;en
 Stevan Faddy on Google Music. ;en
 the It Could Only Happen With You album  Lawrence ;en
